"parameter","method","coverage","bias","MSE","power"
"DTE..60","TWFE",0.937,-0.00018253749015087,1.46633078506531e-05,0.038
"DTE..60","TWFE.ever.adopted",0.947,-0.000283892070952472,2.18407069443672e-05,0.027
"DTE..61","stacked.regression",0.943,-0.000155869357336153,1.55562063737755e-05,0.032
"DTE..7","group.time.ATT",0.994,-4.42780153256385e-05,5.92300758566613e-06,0.003
"DTE..7","group.time.ATT.ever.adopted",0.996,-0.000252148444796781,8.58922747941821e-06,0.002
"DTE..7","stacked.regression",0.943,-2.86393560316558e-05,5.96471716948088e-06,0.031
"DTE..7","TWFE",0.947,-5.10552278239457e-05,9.76936390340008e-06,0.028
"DTE..7","TWFE.ever.adopted",0.951,-0.000202844013340247,1.16985191139287e-05,0.028
"DTE..8","group.time.ATT",0.992,2.20523344994252e-05,6.0004325787942e-06,0.005
"DTE..8","group.time.ATT.ever.adopted",0.988,2.23707910696709e-05,9.70330952964263e-06,0.007
"DTE..8","stacked.regression",0.942,1.56386592939825e-05,5.86742094750743e-06,0.027
"DTE..8","TWFE",0.944,4.63933693308155e-05,1.01282414028255e-05,0.027
"DTE..8","TWFE.ever.adopted",0.942,-6.30751547806375e-05,1.36420933055584e-05,0.027
"DTE..9","group.time.ATT",1,7.51998058837715e-05,5.6371727386821e-06,0
"DTE..9","group.time.ATT.ever.adopted",0.991,3.79632336405204e-05,8.34413574708696e-06,0.006
"DTE..9","stacked.regression",0.947,-6.41367520544293e-06,5.13914113528534e-06,0.032
"DTE..9","TWFE",0.947,8.91223863089182e-06,9.78930953086193e-06,0.028
"DTE..9","TWFE.ever.adopted",0.958,-9.58807577168345e-05,1.47082737027602e-05,0.022
"DTE.0","group.time.ATT",0.995,-4.87949753765943e-05,5.86092700676128e-06,0.853
"DTE.0","group.time.ATT.ever.adopted",0.995,-5.40844004918405e-05,9.15128850767959e-06,0.673
"DTE.0","stacked.regression",0.933,-4.87949753765935e-05,5.86092700676128e-06,0.975
