"parameter","method","coverage","bias","MSE","power"
"DTE..6","TWFE.ever.adopted",0.974,-0.000226659164697214,4.85207864065695e-05,0.013
"DTE..60","group.time.ATT",0.589,1.66255551285387e-06,7.91100917027839e-05,0.21
"DTE..60","stacked.regression",0.401,-3.69800127552456e-05,7.41074891478971e-05,0.301
"DTE..60","TWFE",0.974,-9.75858020882881e-05,9.60232579721509e-05,0.012
"DTE..60","TWFE.ever.adopted",0.974,-9.75858020882881e-05,9.60232579721509e-05,0.012
"DTE..61","group.time.ATT",0.599,0.000318502110806374,8.43902917479317e-05,0.191
"DTE..61","stacked.regression",0.376,-3.86425682680996e-05,7.70816751014723e-05,0.323
"DTE..61","TWFE",0.964,4.5934202687808e-05,0.000155798074430053,0.017
"DTE..61","TWFE.ever.adopted",0.964,4.5934202687808e-05,0.000155798074430053,0.017
"DTE..62","group.time.ATT",0.586,-0.000712959704873278,8.24286968664056e-05,0.229
"DTE..62","stacked.regression",0.398,-0.000357144679074474,7.47448366316891e-05,0.314
"DTE..62","TWFE",0.981,-0.000185548154264336,9.63476148650176e-05,0.007
"DTE..62","TWFE.ever.adopted",0.981,-0.000185548154264336,9.63476148650176e-05,0.007
"DTE..63","group.time.ATT",0.588,0.000586028814230748,8.13674425661405e-05,0.188
"DTE..63","stacked.regression",0.399,0.000355815025798804,7.68005009320628e-05,0.301
"DTE..63","TWFE",0.967,0.000530754760816291,0.000150127130893241,0.013
"DTE..63","TWFE.ever.adopted",0.967,0.000530754760816291,0.000150127130893241,0.013
"DTE..64","group.time.ATT",0.592,-0.000250251804293246,7.88199142897837e-05,0.213
"DTE..64","stacked.regression",0.394,-0.000230213788431944,7.50862931350178e-05,0.314
"DTE..64","TWFE",0.979,-0.000266527848426651,9.28174146718167e-05,0.012
"DTE..64","TWFE.ever.adopted",0.979,-0.000266527848426651,9.28174146718167e-05,0.012
"DTE..65","group.time.ATT",0.588,7.42487276154521e-06,7.68266833968226e-05,0.203
"DTE..65","stacked.regression",0.389,2.0038015861302e-05,7.76056071820034e-05,0.296
"DTE..65","TWFE",0.972,0.000262241609559686,0.000150021060280665,0.014
"DTE..65","TWFE.ever.adopted",0.972,0.000262241609559686,0.000150021060280665,0.014
"DTE..66","stacked.regression",0.406,1.2613143099757e-05,7.42361384763719e-05,0.302
